DELIVERY COMMENTS:,DELIVERY COMMENTS:
Powered by,Powered by
DELIVERY SCHEDULE:,DELIVERY SCHEDULE:
Select desire delivery date and time slot from above text boxes,Select desire delivery date and time slot from above text boxes
Shipping Delivery Schedule,Shipping Delivery Schedule
Comments,Comments
Delivery Schedule Information,Delivery Schedule Information
Add TypesAdd Types,
'Time Slots (24 Hrs format)','Time Slots (24 Hrs format)'
Next 7 days,Next 7 days
Previous 7 days,Previous 7 days
Delivery Cost,Delivery Cost
Enabled,Enabled
Disabled,Disabled
Item was successfully saved,Item was successfully saved
Status,Status
Title,Title
Time Slot,Time Slot
Sorting Order,Sorting Order
Schedule Types,Schedule Types
